rep,guard,recall,fpr
181,v3,1.0,0.0
182,v2,0.8564182598517363,0.0
182,v3,1.0,0.0
183,v2,0.8571428571428571,0.0
183,v3,1.0,0.0
184,v2,0.8488188976377953,0.0
184,v3,1.0,0.0
185,v2,0.85973207249803,0.0
185,v3,1.0,0.0
186,v2,0.8502970297029703,0.0
186,v3,1.0,0.0
187,v2,0.8543072647876141,0.0
187,v3,1.0,0.0
188,v2,0.8497469832619696,0.0
188,v3,1.0,0.0
189,v2,0.8612828438948995,0.0
189,v3,1.0,0.0
190,v2,0.8554733151538761,0.0
190,v3,1.0,0.0
191,v2,0.8571428571428571,0.0
191,v3,1.0,0.0
192,v2,0.8519968676585747,0.0
192,v3,1.0,0.0
193,v2,0.850705329153605,0.0
193,v3,1.0,0.0
194,v2,0.8502715283165244,0.0
194,v3,1.0,0.0
195,v2,0.8557466770914777,0.0
195,v3,1.0,0.0
196,v2,0.8445919562670832,0.0
196,v3,1.0,0.0
197,v2,0.8513198757763976,0.0
197,v3,1.0,0.0
198,v2,0.8450759050214091,0.0
198,v3,1.0,0.0
199,v2,0.8531029065200314,0.0
199,v3,1.0,0.0
200,v2,0.8490930142802007,0.0
200,v3,1.0,0.0
201,v2,0.8550387596899225,0.0
201,v3,1.0,0.0
202,v2,0.8535255161667316,0.0
202,v3,1.0,0.0
203,v2,0.8521536670547147,0.0
203,v3,1.0,0.0
204,v2,0.8554733151538761,0.0
204,v3,1.0,0.0
205,v2,0.8633686690223793,0.0
205,v3,1.0,0.0
206,v2,0.8569194683346364,0.0
206,v3,1.0,0.0
207,v2,0.8500391542678152,0.0
207,v3,1.0,0.0
208,v2,0.8514308114464916,0.0
208,v3,1.0,0.0
209,v2,0.8612308898471188,0.0
209,v3,1.0,0.0
210,v2,0.8532863849765259,0.0
210,v3,1.0,0.0
211,v2,0.8480565371024735,0.0
211,v3,1.0,0.0
212,v2,0.8523568367744448,0.0
212,v3,1.0,0.0
213,v2,0.8463329452852154,0.0
213,v3,1.0,0.0
214,v2,0.851924587588374,0.0
214,v3,1.0,0.0
215,v2,0.8573117855735121,0.0
215,v3,1.0,0.0
216,v2,0.8481613285883749,0.0
216,v3,1.0,0.0
217,v2,0.8529988239905919,0.0
217,v3,1.0,0.0
218,v2,0.8538011695906432,0.0
218,v3,1.0,0.0
219,v2,0.856533540131834,0.0
219,v3,1.0,0.0
220,v2,0.8544747081712062,0.0
220,v3,1.0,0.0
221,v2,0.8575342465753425,0.0
221,v3,1.0,0.0
222,v2,0.8534416086620263,0.0
222,v3,1.0,0.0
223,v2,0.8586872586872587,0.0
223,v3,1.0,0.0
224,v2,0.8645996860282574,0.0
224,v3,1.0,0.0
225,v2,0.8556254917387883,0.0
225,v3,1.0,0.0
226,v2,0.8502736512900704,0.0
226,v3,1.0,0.0
227,v2,0.8543613707165109,0.0
227,v3,1.0,0.0
228,v2,0.8520686963309914,0.0
228,v3,1.0,0.0
229,v2,0.8526398739164697,0.0
229,v3,1.0,0.0
230,v2,0.8515163450177236,0.0
230,v3,1.0,0.0
231,v2,0.8509895227008148,0.0
231,v3,1.0,0.0
232,v2,0.8480373105324523,0.0
232,v3,1.0,0.0
233,v2,0.8532651455546814,0.0
233,v3,1.0,0.0
234,v2,0.853010164190774,0.0
234,v3,1.0,0.0
235,v2,0.848832607835378,0.0
235,v3,1.0,0.0
236,v2,0.8565799842395587,0.0
236,v3,1.0,0.0
237,v2,0.8549262994569433,0.0
237,v3,1.0,0.0
238,v2,0.8486401261332283,0.0
238,v3,1.0,0.0
239,v2,0.8574757281553398,0.0
239,v3,1.0,0.0
240,v2,0.8516204607575166,0.0
240,v3,1.0,0.0
241,v2,0.855078125,0.0
241,v3,1.0,0.0
242,v2,0.8606945540647198,0.0
242,v3,1.0,0.0
243,v2,0.8518811881188119,0.0
243,v3,1.0,0.0
244,v2,0.8586530931871574,0.0
244,v3,1.0,0.0
245,v2,0.8561989895064127,0.0
245,v3,1.0,0.0
246,v2,0.8546875,0.0
246,v3,1.0,0.0
247,v2,0.8587636932707355,0.0
247,v3,1.0,0.0
248,v2,0.8505154639175257,0.0
248,v3,1.0,0.0
249,v2,0.8549202644885259,0.0
249,v3,1.0,0.0
250,v2,0.85390625,0.0
250,v3,1.0,0.0
251,v2,0.8512880562060889,0.0
251,v3,1.0,0.0
252,v2,0.8512939358825802,0.0
252,v3,1.0,0.0
253,v2,0.8603832616347282,0.0
253,v3,1.0,0.0
254,v2,0.8501170960187353,0.0
254,v3,1.0,0.0
255,v2,0.8534653465346534,0.0
255,v3,1.0,0.0
256,v2,0.8488507985975847,0.0
256,v3,1.0,0.0
257,v2,0.8524399690162665,0.0
257,v3,1.0,0.0
258,v2,0.8635640413683373,0.0
258,v3,1.0,0.0
259,v2,0.853390827126617,0.0
259,v3,1.0,0.0
260,v2,0.8576498422712934,0.0
260,v3,1.0,0.0
261,v2,0.8547110055423595,0.0
261,v3,1.0,0.0
262,v2,0.8574766355140186,0.0
262,v3,1.0,0.0
263,v2,0.8499610288386594,0.0
263,v3,1.0,0.0
264,v2,0.8550156739811913,0.0
264,v3,1.0,0.0
265,v2,0.859472049689441,0.0
265,v3,1.0,0.0
266,v2,0.8542159180457053,0.0
266,v3,1.0,0.0
267,v2,0.8485444531864673,0.0
267,v3,1.0,0.0
268,v2,0.8561292865589278,0.0
268,v3,1.0,0.0
269,v2,0.8580246913580247,0.0
269,v3,1.0,0.0
270,v2,0.8529528339278637,0.0
270,v3,1.0,0.0
271,v2,0.8573680063041765,0.0
271,v3,1.0,0.0
272,v2,0.859105180533752,0.0
272,v3,1.0,0.0
273,v2,0.8542239685658153,0.0
273,v3,1.0,0.0
